prot	pepSeqNum	tgNum	guot_L130410_012_SW	
Q6P1X6	2	2	43002	
P12956	24	29	274424	
P29144	3	3	65795	
P11217	1	1	23205	
Q14157	1	1	8563	
P49441	1	1	9525	
O96009	3	3	101514	
Q06124	1	1	19734	
Q8WXD9	1	1	27508	
Q14449	7	7	100682	
Q4V328	2	2	39671	
Q92626	10	10	77791	
Q10570	2	2	421626	
O43670	1	1	27196	
O43175	8	8	333795	
O75874	20	23	334711	
Q9HCH0	1	1	5607	
P36871	25	28	313425	
O75569	2	2	33287	
P69891	1	1	54915	
Q8NE71	2	2	19128	
P60174	19	29	3238890	
Q16531	14	14	334301	
Q08209	1	1	135743	
P11172	1	1	24451	
Q53RD9	1	1	34264	
Q14376	2	2	255864	
P38159	3	3	159064	
P08559	9	9	307230	
Q5JRX3	10	10	90466	
Q9Y2S2	12	14	952682	
O75367	7	9	272262	
P37802	13	16	507937	
O00303	7	8	168865	
P51610	1	1	17533	
O75369	75	90	300536	
O75608	5	6	117107	
Q8TCD5	4	4	93509	
Q9HAU5	1	1	88038	
P98095	4	4	55958	
P10643	6	7	104343	
O94855	2	2	52451	
P11021	35	54	824186	
Q96CP2	1	1	11925	
P01833	10	10	226442	
Q96AC1	7	8	107871	
P16219	15	17	232389	
Q9HB40	5	6	107712	
O60240	25	28	152945	
Q92598	9	9	73735	
P55157	4	4	93843	
Q9BUP3	6	6	99281	
P60981	3	4	175833	
Q6UB98	1	1	42861	
P16401	4	4	1028900	
Q86X76	2	2	137329	
Q16775	7	7	131242	
P29536	1	1	18646	
P24310	2	2	56301	
Q86WU2	9	11	138374	
Q9NZJ7	3	3	62805	
Q04446	9	9	123328	
Q68CK6	8	11	199429	
Q9BXF6	2	2	37038	
P48728	1	1	12727	
Q99611	1	1	34209	
O43504	1	1	253777	
Q96AB3	7	10	146737	
P10809	48	66	388386	
Q04837	6	8	178054	
Q15363	2	2	30076	
O43493	2	2	9697	
Q8NE62	12	13	144164	
Q9BY66	1	1	42700	
Q9HAC7	2	2	48470	
P18206	54	60	237489	
Q8NEY4	10	10	113664	
Q96BS2	1	1	3088	
P38117	14	17	284104	
O15260	2	2	44860	
Q8WXX7	1	1	94643	
O94808	1	1	16814	
Q96FZ7	1	1	13031	
P22732	1	1	88786	
Q9UF12	7	10	119199	
P05783	37	51	2137910	
P08133	27	34	676912	
O00232	3	3	28557	
P84090	1	1	37057	
Q8IUR0	1	1	120976	
P15374	4	4	63853	
P47985	2	4	113327	
Q9Y6U3	17	19	209870	
P13796	17	19	194607	
P51812	1	1	25954	
P41732	1	1	960	
P40306	3	4	167877	
P55072	29	34	297656	
P20339	1	1	36695	
Q99829	7	7	293381	
Q9NYU2	13	13	113823	
P31949	4	5	451526	
P02753	3	3	127824	
Q9Y285	2	2	37919	
Q12907	4	4	105235	
Q5VWZ2	6	6	128162	
Q04941	1	1	17510	
Q96I59	3	3	57249	
P08648	1	1	16645	
Q7L5N7	1	1	80718	
P62136	3	3	136549	
Q14766	1	1	75965	
Q7L014	2	2	46409	
Q9UQ80	11	12	156495	
Q9UNL2	1	1	23485	
Q8WUM4	17	20	139938	
O60313	13	13	103105	
P49908	1	1	5831	
O95428	2	2	38371	
Q14914	12	15	239479	
O00499	4	4	60909	
Q8TB37	1	1	2365	
Q03154	26	34	246280	
Q5TC12	1	1	111723	
Q9Y287	1	1	3175	
Q9BX66	12	12	118941	
Q14974	10	13	107920	
O43399	10	12	313146	
Q7LBR1	1	1	55501	
P04792	21	32	1450698	
Q9NPA8	1	1	26854	
Q9Y2D5	2	2	84293	
O14732	4	4	290990	
P55795	2	3	78506	
Q14894	8	8	97711	
Q96FW1	6	7	183621	
Q6WKZ4	1	1	9337	
Q969Z3	3	4	145772	
P01824	1	1	30220	
P02760	3	3	151178	
P18077	3	4	154862	
Q96DC8	9	10	123453	
P41218	1	1	37818	
P36578	10	10	153775	
P00746	1	1	23418	
Q15046	7	7	128075	
Q9BRX8	4	4	108466	
P25787	8	10	249627	
P34059	2	2	50464	
O95302	2	2	118947	
O43837	6	7	61357	
P00734	3	4	129166	
P63241	3	4	51732	
P50851	12	12	617826	
O15320	1	1	12961	
P25940	1	1	49287	
Q86YH6	5	5	49210	
Q8HWS3	1	1	68891	
P22392	1	2	126197	
Q96ER9	1	1	3589	
P63096	1	2	42949	
Q9NUQ6	2	2	23350	
O95816	2	2	90233	
Q12959	6	6	64104	
O43182	2	2	39170	
P07360	3	3	112504	
P00918	13	18	418491	
P02461	1	1	17541	
Q9UJY5	1	1	8814	
P36404	1	1	45527	
Q8IUZ5	3	3	145362	
Q6UX06	6	6	90902	
P13866	2	2	20280	
Q9NX14	2	2	34379	
P82663	1	1	14045	
O60869	1	1	99891	
P16949	3	3	96574	
Q9UI12	13	15	101036	
Q9BVJ7	3	3	73352	
Q92688	2	2	58115	
P49023	1	1	14182	
P28065	3	3	184348	
P23588	8	9	102377	
Q9NP92	1	1	6052	
O14773	5	9	470953	
Q96DA6	1	1	28142	
P00846	1	1	46360	
P35244	1	1	52579	
P82909	5	7	96844	
Q93099	9	11	241348	
Q9H446	1	1	41876	
P35237	7	9	545758	
P26641	15	18	419011	
Q5VUM1	1	1	8465	
Q695T7	2	2	57179	
P32322	1	1	16585	
Q8NFU3	4	4	171835	
O14879	1	1	16870	
P13647	2	2	63236	
P02774	10	11	317962	
Q9ULV4	7	7	99146	
Q96DB5	4	5	90198	
Q01459	2	2	83629	
Q96RQ1	1	1	13189	
P00450	27	37	333763	
Q15800	1	1	2311	
Q96NL6	1	1	30584	
O14832	3	3	39210	
P20674	8	12	286609	
P10301	2	2	35104	
P55145	2	2	88920	
Q9Y608	1	1	1972	
Q9UHK6	12	16	74793	
O75150	1	1	12190	
Q9Y673	1	1	126304	
O43143	7	7	107246	
P48539	1	1	30921	
Q53H12	2	2	33973	
Q5T619	1	1	11975	
P06454	5	8	107186	
P49588	15	15	316925	
Q92506	5	5	85388	
Q9NRX4	3	5	215639	
Q7L523	1	1	10045	
O75506	1	1	3699	
Q9NZU0	2	2	25971	
P32119	10	12	1310512	
P23786	15	15	116448	
P55042	1	1	31691	
O14841	4	4	59901	
Q13228	25	27	214264	
Q9C0E2	1	1	113395	
Q9H3S4	1	1	42515	
O95169	1	1	30693	
Q9Y4L1	14	17	126760	
Q7RTV0	1	1	22826	
Q99622	1	1	17452	
P78540	9	11	60455	
Q14152	10	12	89002	
O14558	5	5	44881	
P13987	1	1	55007	
Q9H1A3	1	1	29014	
Q9UL12	8	9	175930	
P50895	7	7	71755	
P15289	5	6	47134	
P63279	1	1	74563	
P98164	58	68	486883	
P62701	3	3	90139	
P00387	8	10	180475	
P50238	1	1	466797	
P16104	1	1	18036	
Q5XKE5	1	1	834093	
Q9H1E3	1	1	185854	
O15230	42	49	346639	
Q99684	1	1	48505	
Q7L3T8	1	1	13077	
Q9BSD7	2	2	18854	
P22102	6	6	202805	
O95758	1	1	35604	
O00592	3	3	92585	
Q09666	130	142	521222	
Q9HCC0	16	20	135713	
P07339	18	25	965766	
P17655	16	17	528650	
P04839	1	1	5132	
Q07065	18	19	159253	
Q6PCB0	11	17	187240	
Q9P016	1	1	7241	
Q15102	4	4	135795	
Q6ZXV5	1	1	12010	
Q96AY3	6	6	88546	
Q14566	2	2	46709	
P01608	1	1	50028	
P05787	34	44	2227290	
Q16625	1	1	46697	
Q13085	1	1	13855	
P16278	10	10	460738	
Q13442	3	3	115718	
P35658	1	1	2623	
Q9GZZ1	1	1	52342	
Q13177	2	2	51761	
Q8TAQ2	1	1	308765	
Q9HBL7	2	2	46368	
Q9ULZ2	1	1	5160	
P67870	1	1	29710	
Q14240	4	4	111337	
Q14444	4	4	55166	
O95793	1	1	10497	
Q8IZR5	1	1	7474	
Q08945	1	1	50679	
Q00688	4	4	128539	
P30711	5	7	204565	
Q96DN5	1	1	39895	
Q16698	13	17	172163	
Q99536	13	15	504175	
O00743	1	1	29265	
Q02790	5	6	155619	
Q13428	1	1	9930	
P31146	7	7	141083	
Q8WXH0	7	7	62143	
Q9BYC9	1	1	18128	
Q99797	2	2	47115	
P61026	5	6	126094	
Q16555	15	19	422141	
O00299	11	12	515721	
Q9Y305	5	5	70158	
Q63ZY3	3	3	51849	
Q8NFZ0	1	1	44302	
O75937	2	2	45651	
Q13823	1	1	28640	
P46777	3	4	89667	
Q8N8Y2	10	12	231340	
P68400	1	1	23016	
O00487	3	3	96649	
Q9NXG2	2	2	166939	
Q9C0E8	1	1	9892	
P08237	16	16	343891	
Q7Z3D6	9	10	120175	
Q99614	1	1	47172	
P46783	3	3	231232	
Q9UDW1	2	2	39483	
Q92945	10	11	199823	
O95562	1	1	11150	
Q9Y5K6	5	5	68458	
P21964	2	2	50656	
Q9NZA1	2	2	18751	
P00540	1	1	35181	
P07910	7	9	508852	
Q13363	5	5	250996	
O75131	5	5	133463	
O43426	1	1	358806	
O43301	10	10	436590	
P45381	4	4	147293	
O94919	1	1	16705	
P40763	2	2	14024	
P11233	1	1	27492	
Q99490	1	1	128403	
P09327	19	20	213375	
Q8N335	4	4	102357	
Q13310	3	3	73936	
P62847	2	2	44021	
O15394	1	1	62388	
P05164	1	1	14561	
P08637	1	1	21641	
P04066	6	6	59519	
Q92896	1	1	106178	
O14786	2	2	20614	
P0CW27	1	1	64667	
P10153	2	2	21861	
Q9NVT9	1	1	13350	
O60701	16	18	181495	
P31639	1	1	1633	
P55196	1	1	38256	
Q9UBD6	3	3	33266	
Q9UKV3	1	1	3465	
Q9UGT4	2	2	33215	
Q6P2Q9	4	4	130376	
O60841	1	1	21648	
P15954	2	3	13049	
P12277	17	27	129455	
Q53EU6	4	4	43682	
P01857	5	7	1671965	
P08670	51	77	4008720	
Q9Y295	3	3	44856	
P11310	19	25	502682	
P01137	1	1	15842	
O95872	1	1	30513	
Q13724	5	6	76251	
P60900	5	6	577798	
P15090	5	7	115094	
Q9Y5M8	1	1	20055	
P23381	11	15	183957	
P54577	9	9	77389	
Q9Y3B8	3	3	128383	
P07585	10	12	55073	
Q9NZQ9	1	1	29073	
Q96AG4	7	7	147140	
Q9UJS0	14	16	327907	
Q9BV79	2	2	42522	
P06748	10	16	393122	
P21266	5	7	63010	
P61088	2	4	103301	
P54725	2	3	37137	
B9A064	1	1	273958	
Q16643	3	3	26098	
Q96TA1	7	8	154420	
P49406	3	3	52630	
Q8TAT6	3	3	36637	
Q9NR45	4	4	234898	
P30626	6	7	243122	
Q9NUJ1	10	14	102221	
Q99733	7	7	90262	
Q9NVS9	5	6	129471	
P00740	7	9	132443	
Q9BTU6	1	1	10699	
Q99417	2	2	33622	
P62993	3	3	54974	
P16070	2	2	49726	
Q9NZL9	4	4	214213	
Q00013	1	1	15225	
P28838	29	33	193844	
O00142	1	1	32612	
P41227	1	1	4352	
Q08752	1	1	24332	
Q9UN37	3	3	74308	
P35573	5	5	113659	
P30533	6	6	118668	
O43678	3	4	120585	
P62140	2	2	72365	
Q9BRG1	1	1	53995	
Q15654	1	1	18005	
Q9BVL4	1	1	12032	
P04434	1	1	12787	
Q5TBA9	1	1	8396	
Q9UHJ6	1	1	25287	
Q7Z4H8	1	1	5392	
P07711	3	3	39344	
Q8WXF1	3	3	58613	
P38606	30	42	323531	
Q9BY49	5	5	89199	
O43795	4	4	72866	
O95989	1	1	51850	
Q15599	3	3	67015	
Q9H0A8	1	1	27373	
Q8TB22	4	4	70414	
P06733	32	48	6377630	
O75629	1	1	16544	
Q15366	4	4	225799	
Q8N1F8	1	1	23955	
P50914	3	4	130575	
Q07507	1	1	44521	
Q9Y4P3	2	2	22113	
P09960	16	18	258680	
A0FGR8	3	3	40540	
P80303	2	2	36729	
P08962	1	1	17180	
Q56VL3	2	2	23079	
Q96SU4	1	1	17959	
Q00341	11	11	114223	
P02787	29	40	1105191	
P10909	10	12	290547	
Q9H1J5	1	1	332207	
Q8N4T8	4	4	72634	
P23284	12	14	475217	
Q14558	1	1	12212	
Q969Z0	1	1	13570	
Q14657	1	1	4551	
P04433	1	1	197381	
Q9UBX5	2	2	47604	
P49756	3	3	153439	
P51911	4	4	57824	
P46952	6	6	161984	
Q9NUV9	2	2	29318	
Q9NZW5	3	3	66656	
Q96IU4	7	10	320666	
P29692	9	10	217613	
Q07960	12	15	130184	
P13716	5	6	125964	
P05166	19	25	370470	
Q15628	2	2	43148	
Q14562	1	1	22169	
O43242	10	10	106806	
O75439	3	3	79261	
P10451	4	4	9784	
Q14118	3	3	92154	
P11047	28	36	323883	
P25205	5	5	54085	
A0AVT1	11	11	98635	
Q15388	1	1	23004	
Q16762	7	10	200028	
Q6PI48	8	8	68536	
Q14624	22	24	204239	
O15439	7	7	48548	
P98179	4	5	63657	
Q9NX63	5	5	143117	
Q9UI09	6	6	110843	
Q75V66	1	1	24341	
Q9P0Z9	4	4	37356	
P82970	2	2	21257	
Q6RW13	1	1	11061	
P05556	11	11	138643	
O15144	9	12	268536	
Q96QZ7	1	1	1845	
P22897	1	1	48538	
P61966	1	1	5712	
O43920	2	2	92309	
Q12955	12	12	99105	
Q15393	11	12	258852	
O60885	1	1	47320	
Q02880	1	1	14712	
P48739	1	1	16365	
P52788	3	3	120984	
P29966	9	12	82258	
P35613	5	5	94291	
O95954	13	16	195934	
P55263	3	4	59239	
Q9BYV1	10	11	261669	
Q8TEA8	2	2	23113	
P02763	7	12	458448	
Q9NXU5	3	3	62370	
P49721	7	7	205809	
Q99714	13	19	206140	
P13861	9	9	101757	
P30405	6	6	88736	
Q6VY07	2	2	11947	
P35219	1	1	42295	
Q03252	19	19	271582	
P26196	5	5	88700	
Q08495	6	6	57680	
P39748	1	1	38381	
O75208	7	7	116156	
P19971	16	20	166960	
P09543	3	3	95967	
O00231	6	6	124721	
P01031	19	19	299037	
P01699	1	1	35403	
O95433	2	2	72832	
Q15233	5	6	102984	
P30046	2	2	337038	
Q9Y5X3	8	9	160788	
P46976	4	4	118748	
P49736	2	2	22632	
Q02487	1	1	24846	
O15247	1	1	10108	
Q13938	3	3	96195	
P61916	2	2	59797	
Q9BS92	4	4	56230	
Q96BQ5	1	1	37390	
Q8TF65	2	3	75452	
Q8NBJ7	3	3	113336	
Q5D862	1	1	23510	
P30038	25	33	143269	
O43681	3	4	140672	
P40227	9	10	259113	
Q6P1M3	2	2	32142	
P49368	12	13	336038	
P50135	5	5	218757	
P11277	23	23	121800	
Q9UBQ7	8	10	296749	
O00116	1	1	28085	
P19623	2	2	104021	
O95295	1	1	28133	
Q8IZF2	1	1	3074	
Q16629	5	5	177594	
Q13277	1	1	17211	
P04196	7	8	200575	
P47736	2	2	12413	
P26038	33	41	835739	
Q8WUY1	1	1	53251	
Q9Y6N9	1	1	28730	
Q96QK1	16	17	246507	
Q86UE4	8	8	50918	
A0AV96	3	3	19352	
Q13409	7	7	125943	
Q15287	1	1	12798	
P02675	24	33	1253971	
Q96A26	4	4	106703	
P08574	2	4	86053	
Q13283	4	4	65591	
O60308	1	1	340771	
P62851	5	5	247339	
O15145	4	4	213839	
Q9NZR1	1	1	41325	
P19823	19	23	337068	
P62854	1	2	31688	
Q9Y371	4	4	55110	
Q07666	3	3	114971	
O60285	1	1	95345	
Q00325	12	13	173432	
Q9Y303	2	2	124394	
P10599	4	5	2144862	
Q9H098	1	1	8271	
Q9NR28	3	3	107925	
Q5EBL8	2	2	149661	
P53621	23	23	187621	
Q9Y224	7	7	86681	
O76003	6	6	76556	
Q96DI7	1	1	26485	
P09429	3	5	203086	
O75832	1	1	19877	
O60493	4	4	169378	
P35914	5	6	183692	
Q86XW9	1	1	74135	
Q9NTK5	6	6	173122	
Q9H2D6	2	2	44833	
Q9NX18	1	1	28559	
Q9ULA0	4	4	114526	
P53370	1	1	173764	
Q9Y5K8	9	9	109833	
P05997	1	1	15887	
O15126	5	5	56386	
Q15436	2	2	53813	
P21953	2	2	7276	
Q9Y266	4	4	83914	
Q02318	5	5	68332	
Q9NR12	3	3	65027	
P61604	9	12	953261	
P02647	19	29	2869500	
P40121	13	16	300140	
Q5HYK3	1	1	3043	
P28066	7	7	318603	
Q9UBI6	2	3	84121	
Q16401	8	9	125916	
C9J6K1	1	1	43933	
P53004	7	7	262794	
P11142	19	24	756513	
Q9Y2E5	3	3	37998	
Q9H479	5	5	67517	
Q15651	1	1	6758	
Q969V3	1	1	20572	
P28906	1	1	1884	
P61923	4	4	111022	
P08754	1	1	13746	
Q13423	34	41	300610	
Q9Y315	1	1	12824	
Q6UW68	1	1	22997	
P47755	5	6	240237	
P11216	26	32	271470	
O43674	2	2	54368	
Q9UGM6	2	2	47769	
O43819	2	2	72178	
P55010	3	3	105652	
Q8WUP2	1	1	114028	
Q16527	3	3	66026	
Q6YP21	1	1	85747	
Q9NP61	1	1	13114	
Q9H5X1	1	1	31758	
Q53FA7	3	3	73560	
Q9BUJ2	4	4	52790	
O43707	42	56	532719	
Q9NZB2	6	6	59938	
P15088	4	4	52059	
Q93052	5	6	151567	
Q01813	23	26	613574	
Q02952	20	22	105451	
P28482	5	6	349262	
O14681	1	1	203319	
Q96BT1	1	1	173892	
P06703	3	3	480474	
Q9UBW8	1	1	6683	
P48506	1	1	26583	
P54886	8	9	73766	
P04899	4	4	53996	
P46778	1	2	25873	
O60437	4	4	78598	
P22314	36	48	535258	
Q9Y2W1	1	1	8909	
P19801	10	11	192609	
Q86XP3	1	1	102922	
Q96FV2	3	4	137729	
Q7Z3U7	1	1	6220	
O14556	1	1	106642	
Q9NX24	1	1	24715	
P62424	6	7	146089	
Q03164	1	1	57796	
O75822	1	1	57799	
A6NCI4	2	2	15667	
A2VDF0	1	1	3647	
P05543	2	2	105162	
P16885	38	39	135504	
P02766	11	17	579946	
Q7Z406	1	1	42964	
Q9H5V8	1	1	32892	
O14957	1	1	31327	
Q16363	24	25	342455	
P15848	2	2	43618	
P51858	10	11	1319650	
Q9Y2B0	4	5	86642	
P01011	14	17	435672	
O60825	1	1	22750	
P52306	3	3	44200	
Q9H4M9	6	6	97118	
Q9NS69	2	2	40177	
P20700	14	14	189310	
P02489	6	7	83358	
P18031	3	3	47928	
P30153	13	15	218231	
P10606	9	12	197793	
P50440	28	38	141162	
P35749	37	43	149012	
P35754	4	6	631820	
P32455	6	6	385653	
Q9UHE5	2	3	70676	
Q14166	4	4	167349	
O00233	3	3	80199	
Q9Y4W6	9	9	89443	
P62306	1	1	5663	
P00439	12	12	108102	
Q9UNN8	1	1	20763	
O15083	1	1	64473	
P37235	2	2	72636	
P05091	22	31	851676	
Q0VAM2	1	1	48877	
O43615	7	7	74513	
P13073	10	11	302160	
P67936	8	10	276265	
Q86TX2	1	2	33505	
P06727	24	28	316164	
P51452	6	7	131643	
P63000	1	1	47439	
P16452	5	5	404432	
O00410	6	6	62807	
Q9UPZ6	1	1	14683	
P62826	6	7	700009	
P20711	15	18	322449	
B7Z1M9	1	1	38562	
P18085	4	4	79388	
Q1EHB4	2	2	29962	
P53634	5	5	134319	
Q9BU61	2	2	75324	
Q8WZ55	3	3	68260	
Q13683	3	3	164031	
Q99541	16	21	715506	
Q86XE5	7	8	41758	
Q86WA6	8	10	110900	
P21796	18	24	471843	
Q15075	9	9	118365	
Q96I15	1	1	42902	
P50454	12	18	177101	
O14744	1	2	42454	
Q92599	3	3	72235	
Q2TB90	11	11	146848	
Q8N357	1	1	33795	
P32189	1	1	51957	
Q12765	5	6	66517	
Q9HBH1	2	2	103306	
Q8WWC4	3	3	62668	
Q13232	4	4	124750	
P43304	13	14	98176	
Q92544	1	1	14458	
P30740	15	19	193514	
Q9NWH7	1	1	13358	
P00326	1	3	20825	
P28161	2	2	71945	
P62633	3	3	42381	
P16284	4	4	101109	
O00584	4	4	86750	
Q9Y646	5	5	93152	
P13645	15	17	157594	
Q9H3R0	1	1	130773	
Q9BUF5	5	5	55672	
Q96HR9	2	2	76010	
Q9Y2H5	1	1	14677	
P62333	5	5	118191	
O95163	1	1	19320	
P26006	4	4	93492	
Q9NPE2	1	1	243523	
P23229	8	8	106104	
Q8WUW1	1	1	27291	
Q9H6R3	14	14	306241	
P30039	15	19	163829	
P53680	1	1	83473	
Q9BX97	2	2	53232	
O95340	1	1	20767	
Q15637	5	5	57081	
Q9NPL8	2	2	8286	
P49354	1	1	1598	
P27216	1	1	23971	
P46459	11	11	117643	
P02794	11	16	249525	
O43464	6	6	100623	
P53367	5	5	57837	
Q5T4S7	3	3	80620	
P25786	10	10	315782	
O60936	6	7	52508	
Q96HE7	7	7	159201	
Q6NZI2	9	12	391782	
Q9NVD7	4	4	49228	
P13611	12	13	428569	
Q14697	33	42	484100	
P08294	6	7	43196	
P12111	104	131	619490	
P07437	5	8	1503436	
Q6FI81	4	4	50872	
Q86UT6	1	1	17600	
O94760	9	11	611770	
P52735	1	1	12518	
Q9H299	3	3	152001	
O14617	6	6	64776	
P50552	5	5	53039	
Q14141	1	1	5878	
P49589	1	1	59293	
O75368	6	7	270092	
Q8N3V7	3	3	25045	
P62330	2	3	140383	
P16444	7	8	159266	
Q7Z434	3	3	18503	
P30044	10	15	773949	
Q53GS9	1	1	7362	
P01621	1	1	211634	
Q13621	6	6	65008	
P12081	4	4	93938	
P31277	1	1	68558	
P58107	13	16	247139	
Q7Z2W9	1	1	16679	
P04075	23	35	1143000	
P02743	9	11	141198	
Q9NQG5	5	5	85727	
Q5VW32	2	2	36963	
P13807	6	6	106221	
Q16540	1	1	10530	
P15170	1	1	31134	
Q93062	2	2	46561	
Q9Y6W5	1	1	37006	
Q12849	3	4	24345	
Q9UMY4	1	1	24574	
Q13315	1	1	211136	
P61353	1	1	54717	
P62277	4	5	168543	
Q9NWV4	1	1	16735	
Q02252	28	37	362478	
Q96H20	1	1	29902	
P00568	4	4	168890	
Q13242	1	1	69361	
P62191	4	4	73812	
P45974	18	19	187574	
Q9BZK7	1	1	12351	
Q86Y39	2	3	67084	
P84098	4	5	110692	
Q9BYT8	4	4	65446	
P14317	2	2	58032	
