prot	pepSeqNum	tgNum	guot_L130410_034_SW
Q13283	4	4	61967
O60308	1	1	126474
P62851	5	5	350992
O15145	4	4	188723
Q9NZR1	1	1	34671
P19823	19	23	293993
P62854	1	2	46828
Q9Y371	4	4	40733
Q07666	3	3	124607
O60285	1	1	62064
Q00325	12	13	147960
Q9Y303	2	2	78072
P10599	4	5	556153
Q9H098	1	1	6702
Q9NR28	3	3	134421
Q5EBL8	2	2	116939
P53621	23	23	186808
Q9Y224	7	7	51200
O76003	6	6	118644
Q96DI7	1	1	26960
P09429	3	5	144636
O75832	1	1	20568
O60493	4	4	149342
P35914	5	6	102053
Q86XW9	1	1	62556
Q9NTK5	6	6	172466
Q9H2D6	2	2	59215
Q9NX18	1	1	31251
Q9ULA0	4	4	56928
P53370	1	1	104023
Q9Y5K8	9	9	147472
P05997	1	1	14208
O15126	5	5	53315
Q15436	2	2	49325
P21953	2	2	6065
Q9Y266	4	4	109279
Q02318	5	5	53437
Q9NR12	3	3	138753
P61604	9	12	1268555
P02647	19	29	778817
P40121	13	16	251219
Q5HYK3	1	1	4468
P28066	7	7	89874
Q9UBI6	2	3	65926
Q16401	8	9	103829
C9J6K1	1	1	26966
P53004	7	7	148340
P11142	19	24	1061997
Q9Y2E5	3	3	34959
Q9H479	5	5	48279
Q15651	1	1	4079
Q969V3	1	1	18532
P28906	1	1	190
P61923	4	4	107296
P08754	1	1	13718
Q13423	34	41	127800
Q9Y315	1	1	10273
Q6UW68	1	1	11341
P47755	5	6	236534
P11216	26	32	223308
O43674	2	2	65019
Q9UGM6	2	2	30399
O43819	2	2	47346
P55010	3	3	75288
Q8WUP2	1	1	81814
Q16527	3	3	56898
Q6YP21	1	1	54751
Q9NP61	1	1	14014
Q9H5X1	1	1	19932
Q53FA7	3	3	49441
Q9BUJ2	4	4	86117
O43707	42	56	613297
Q9NZB2	6	6	44966
P15088	4	4	61894
Q93052	5	6	163274
Q01813	23	26	163388
Q02952	20	22	94564
P28482	5	6	187044
O14681	1	1	33769
Q96BT1	1	1	97216
P06703	3	3	474137
Q9UBW8	1	1	2494
P48506	1	1	13935
P54886	8	9	60429
P04899	4	4	61824
P46778	1	2	20015
O60437	4	4	37950
P22314	36	48	247424
Q9Y2W1	1	1	8196
P19801	10	11	80365
Q86XP3	1	1	54988
Q96FV2	3	4	100178
Q7Z3U7	1	1	5099
O14556	1	1	90186
Q9NX24	1	1	31553
P62424	6	7	183671
Q03164	1	1	52718
O75822	1	1	42593
A6NCI4	2	2	13266
A2VDF0	1	1	3028
P05543	2	2	108853
P16885	38	39	161077
P02766	11	17	398021
Q7Z406	1	1	109191
Q9H5V8	1	1	28807
O14957	1	1	35408
Q16363	24	25	352577
P15848	2	2	31726
P51858	10	11	398526
Q9Y2B0	4	5	72703
P01011	14	17	496098
O60825	1	1	22981
P52306	3	3	40360
Q9H4M9	6	6	67943
Q9NS69	2	2	31841
P20700	14	14	171063
P02489	6	7	67150
P18031	3	3	62300
P30153	13	15	135084
P10606	9	12	205286
P50440	28	38	139183
P35749	37	43	217203
P35754	4	6	189273
P32455	6	6	165068
Q9UHE5	2	3	78687
Q14166	4	4	130112
O00233	3	3	60415
Q9Y4W6	9	9	84677
P62306	1	1	3876
P00439	12	12	160388
Q9UNN8	1	1	19101
O15083	1	1	114988
P37235	2	2	37680
P05091	22	31	583317
Q0VAM2	1	1	68574
O43615	7	7	74368
P13073	10	11	195205
P67936	8	10	492214
Q86TX2	1	2	21880
P06727	24	28	175004
P51452	6	7	80194
P63000	1	1	50890
P16452	5	5	181508
O00410	6	6	56224
Q9UPZ6	1	1	18178
P62826	6	7	799346
P20711	15	18	224724
B7Z1M9	1	1	50720
P18085	4	4	105460
Q1EHB4	2	2	23489
P53634	5	5	355512
Q9BU61	2	2	58653
Q8WZ55	3	3	71152
Q13683	3	3	150427
Q99541	16	21	214020
Q86XE5	7	8	46197
Q86WA6	8	10	98414
P21796	18	24	498576
Q15075	9	9	83947
Q96I15	1	1	16210
P50454	12	18	273343
O14744	1	2	133974
Q92599	3	3	59924
Q2TB90	11	11	111121
Q8N357	1	1	44905
P32189	1	1	26194
Q12765	5	6	53732
Q9HBH1	2	2	90947
Q8WWC4	3	3	48531
Q13232	4	4	218468
P43304	13	14	98418
Q92544	1	1	13114
P30740	15	19	205791
Q9NWH7	1	1	6776
P00326	1	3	22676
P28161	2	2	9089
P62633	3	3	46375
P16284	4	4	55550
O00584	4	4	374141
Q9Y646	5	5	92105
P13645	15	17	94644
Q9H3R0	1	1	58142
Q9BUF5	5	5	31429
Q96HR9	2	2	42008
Q9Y2H5	1	1	8349
P62333	5	5	68311
O95163	1	1	12200
P26006	4	4	59532
Q9NPE2	1	1	68901
P23229	8	8	71789
Q8WUW1	1	1	25329
Q9H6R3	14	14	113980
P30039	15	19	112143
P53680	1	1	70106
Q9BX97	2	2	18324
O95340	1	1	19797
Q15637	5	5	57367
Q9NPL8	2	2	8848
P49354	1	1	802
P27216	1	1	11482
P46459	11	11	153917
P02794	11	16	129503
O43464	6	6	76355
P53367	5	5	45298
Q5T4S7	3	3	103884
P25786	10	10	161364
O60936	6	7	39767
Q96HE7	7	7	107049
Q6NZI2	9	12	245417
Q9NVD7	4	4	39225
P13611	12	13	820749
Q14697	33	42	366006
P08294	6	7	73585
P12111	104	131	538737
P07437	5	8	1192846
Q6FI81	4	4	59598
Q86UT6	1	1	12409
O94760	9	11	244483
P52735	1	1	10674
Q9H299	3	3	181263
O14617	6	6	51698
P50552	5	5	68553
Q14141	1	1	3781
P49589	1	1	37217
O75368	6	7	294970
Q8N3V7	3	3	16728
P62330	2	3	80966
P16444	7	8	121330
Q7Z434	3	3	16843
P30044	10	15	498782
Q53GS9	1	1	7669
P01621	1	1	125427
Q13621	6	6	56442
P12081	4	4	127680
P31277	1	1	20794
P58107	13	16	164665
Q7Z2W9	1	1	16686
P04075	23	35	2848600
P02743	9	11	74374
Q9NQG5	5	5	57389
Q5VW32	2	2	27181
P13807	6	6	96279
Q16540	1	1	7832
P15170	1	1	43314
Q93062	2	2	30829
Q9Y6W5	1	1	38514
Q12849	3	4	35420
Q9UMY4	1	1	15813
Q13315	1	1	67135
P61353	1	1	40390
P62277	4	5	188513
Q9NWV4	1	1	10231
Q02252	28	37	103946
Q96H20	1	1	23482
P00568	4	4	81718
Q13242	1	1	87441
P62191	4	4	86146
P45974	18	19	150941
Q9BZK7	1	1	15928
Q86Y39	2	3	72155
P84098	4	5	179358
Q9BYT8	4	4	51617
P14317	2	2	76563
O00476	1	1	16151
O15067	6	6	60729
P62318	2	2	110182
Q9UMS4	6	6	164262
P25815	1	1	4292
Q9H8Y8	3	3	60084
Q5ST30	1	1	9626
Q14554	5	5	147131
Q9UHB6	12	12	107148
Q15019	8	12	130758
Q63HM1	1	1	2941
P18428	3	4	42569
P35270	8	11	137071
O96008	2	2	32513
Q9BYD1	2	2	111503
P07858	7	10	177272
P80217	1	1	53943
P52565	7	8	197805
Q01081	2	2	125021
P21281	14	17	154257
P28331	20	25	168346
Q9BZF1	1	1	22892
Q9Y696	10	12	440751
P35998	9	9	168931
O75970	1	1	50036
P47897	9	9	129170
Q96GD0	1	1	5626
P08519	1	1	7669
O75165	2	2	20765
Q99766	2	2	57132
P11182	9	9	147168
P52434	1	1	7133
P07237	33	42	1119207
P62269	6	7	300789
P61106	13	15	120506
Q9H6Q4	1	1	18877
P27708	5	5	82142
Q9H4B4	1	1	13583
P37198	2	2	45764
P50213	7	8	66020
Q9UBI1	2	2	24916
Q9Y3Z3	16	16	167311
Q86Y82	4	4	38806
Q9UBQ0	4	5	61880
Q03135	5	5	43110
P01009	30	48	1236907
Q9Y3E0	1	1	13558
Q9BXJ7	3	3	58179
Q8N655	1	1	22386
O43169	2	2	24521
P12830	5	8	53235
P07195	14	17	1510484
P12814	19	24	278096
Q05707	34	35	189302
O60673	1	1	91297
P22307	8	8	150051
Q04637	11	11	132481
Q9BTV4	3	3	59056
P09622	14	15	132840
P48047	13	16	314898
Q1KMD3	10	10	68335
Q9H0W9	7	11	253836
Q14204	74	77	176569
Q02338	5	5	41478
Q16134	12	13	83123
Q16774	2	2	32465
Q15904	5	5	108615
Q96IY4	1	1	33160
Q01415	2	2	34006
P25774	4	4	72203
P36957	13	15	166539
P78357	1	1	73762
P15924	4	4	134687
P68366	3	4	206027
Q5HYA8	1	1	9940
P51572	4	5	76217
O00401	1	1	5938
O60610	1	1	14619
Q9H9B4	10	10	144838
Q13356	1	1	10358
P07814	15	15	197237
P04114	59	60	105497
Q16853	7	8	281039
Q15417	6	6	96247
P35637	3	3	125934
