prot	pepSeqNum	tgNum	guot_L130410_035_SW			
Q8NBX0	6	6	120153			
Q96LJ7	1	1	6344			
Q12929	4	4	56684			
P02748	13	14	123493			
P10253	15	16	179627			
P51149	10	12	195062			
Q8IVF2	12	12	517056			
Q01995	18	19	53989			
O00338	1	1	11455			
Q4KMP7	1	1	60995			
Q9BUQ8	1	1	8470			
Q96HN2	2	2	93579			
P11413	12	13	87472			
Q8IYB8	1	1	13459			
Q969H8	4	4	95857			
Q9BV20	4	4	55883			
Q07020	4	4	124983			
P04181	9	10	130409			
Q5SSJ5	7	8	75528			
Q15437	4	4	52799			
Q8TEK3	1	1	59183			
P55036	2	2	43788			
Q53FZ2	9	9	93867			
P84243	1	1	800			
O43813	5	5	102996			
P35558	20	23	205651			
Q9UBF2	1	1	1994			
P42704	52	63	186358			
O95292	2	2	88647			
O94905	6	7	73686			
O43895	6	6	118527			
P62312	2	2	46449			
P02765	3	3	84885			
Q9H2W6	4	4	58818			
Q9Y5P6	1	1	70521			
P06756	8	8	63415			
P55735	2	2	91417			
Q8NBQ5	7	7	45301			
P13674	8	8	92628			
O14966	1	1	69883			
P55285	6	6	178060			
Q9BPX6	1	1	710			
O43852	12	14	254628			
P53041	1	1	20624			
Q14254	8	8	99703			
Q08431	1	1	32896			
O00483	4	5	167837			
Q92522	4	4	63606			
Q96B36	1	1	28792			
P51606	4	4	64555			
P00505	31	37	780364			
Q9ULC4	1	1	4136			
P27694	4	4	63032			
P05198	6	6	136966			
Q92499	12	12	239136			
P98160	68	93	606072			
P55268	30	34	204538			
Q9HAT2	7	8	182367			
P08185	3	3	76868			
O60763	18	19	178675			
Q13564	2	2	38660			
P05026	7	10	125783			
Q13586	4	4	33722			
P05455	10	10	158739			
P17516	1	1	33955			
O94906	4	4	70874			
P04271	1	1	13767			
Q96FN4	1	1	10921			
O95379	1	1	3263			
O96019	2	2	35822			
Q2M389	1	1	1182			
Q99715	44	46	210277			
P51991	10	13	86553			
Q9H1K1	1	1	268601			
P08195	9	10	157525			
Q9H008	4	4	64091			
P32929	3	3	63087			
P04217	10	14	216632			
P43686	6	6	23269			
Q9BQI9	1	1	5114			
Q96G23	1	1	26026			
Q5SYB0	1	1	188367			
P48637	20	23	752876			
Q9UGV2	1	1	35043			
P00533	2	2	45756			
P63208	4	5	170389			
P63010	9	9	228976			
Q9UMS0	1	1	31462			
P02549	25	26	110382			
Q9H3Z4	1	1	19712			
P21589	3	4	88112			
A6NL28	3	4	113485			
P04004	7	10	353992			
P31323	4	4	31107			
Q9UJW0	1	1	22164			
Q9NR31	3	4	102230			
P28074	2	3	75658			
O95479	2	2	52783			
O94979	11	11	121484			
Q00610	50	62	285730			
Q9UN86	2	2	105707			
Q6AWC2	1	1	121434			
Q9BZQ8	1	1	14970			
Q9NRL2	1	1	36656			
Q6P1X6	2	2	73623			
P12956	24	29	296448			
P29144	3	3	38394			
P11217	1	1	18379			
Q14157	1	1	5927			
P49441	1	1	9651			
O96009	3	3	100492			
Q06124	1	1	17666			
Q8WXD9	1	1	13397			
Q14449	7	7	128858			
Q4V328	2	2	38488			
Q92626	10	10	71461			
Q10570	2	2	176806			
O43670	1	1	31459			
O43175	8	8	145491			
O75874	20	23	190957			
Q9HCH0	1	1	6484			
P36871	25	28	334209			
O75569	2	2	34169			
P69891	1	1	43994			
Q8NE71	2	2	15892			
P60174	19	29	1974511			
Q16531	14	14	87120			
Q08209	1	1	247584			
P11172	1	1	18695			
Q53RD9	1	1	84776			
Q14376	2	2	215559			
P38159	3	3	173349			
P08559	9	9	365866			
Q5JRX3	10	10	59626			
Q9Y2S2	12	14	196377			
O75367	7	9	277183			
P37802	13	16	204330			
O00303	7	8	354732			
P51610	1	1	16280			
O75369	75	90	267253			
O75608	5	6	207822			
Q8TCD5	4	4	60060			
Q9HAU5	1	1	115631			
P98095	4	4	34414			
P10643	6	7	68303			
O94855	2	2	40034			
P11021	35	54	477351			
Q96CP2	1	1	17317			
P01833	10	10	182037			
Q96AC1	7	8	75660			
P16219	15	17	162633			
Q9HB40	5	6	95781			
O60240	25	28	115423			
Q92598	9	9	66665			
P55157	4	4	28465			
Q9BUP3	6	6	92584			
P60981	3	4	44294			
Q6UB98	1	1	18748			
P16401	4	4	210055			
Q86X76	2	2	116833			
Q16775	7	7	123757			
P29536	1	1	9208			
P24310	2	2	38662			
Q86WU2	9	11	171157			
Q9NZJ7	3	3	41397			
Q04446	9	9	63980			
Q68CK6	8	11	66280			
Q9BXF6	2	2	19229			
P48728	1	1	11683			
Q99611	1	1	29267			
O43504	1	1	106926			
Q96AB3	7	10	113907			
P10809	48	66	1031906			
Q04837	6	8	143481			
Q15363	2	2	25491			
O43493	2	2	6007			
Q8NE62	12	13	141593			
Q9BY66	1	1	37583			
Q9HAC7	2	2	50627			
P18206	54	60	262479			
Q8NEY4	10	10	113094			
Q96BS2	1	1	16326			
P38117	14	17	378101			
O15260	2	2	45376			
Q8WXX7	1	1	20283			
O94808	1	1	12225			
Q96FZ7	1	1	13738			
P22732	1	1	68331			
Q9UF12	7	10	89528			
P05783	37	51	1857108			
P08133	27	34	456188			
O00232	3	3	23579			
P84090	1	1	16920			
Q8IUR0	1	1	79423			
P15374	4	4	46104			
P47985	2	4	100002			
Q9Y6U3	17	19	148396			
P13796	17	19	76557			
P51812	1	1	12517			
P41732	1	1	1280			
P40306	3	4	43023			
P55072	29	34	290226			
P20339	1	1	20845			
Q99829	7	7	165843			
Q9NYU2	13	13	124833			
P31949	4	5	365513			
P02753	3	3	57476			
Q9Y285	2	2	28019			
Q12907	4	4	67137			
Q5VWZ2	6	6	115734			
Q04941	1	1	39865			
Q96I59	3	3	62705			
P08648	1	1	13254			
Q7L5N7	1	1	130832			
P62136	3	3	110345			
Q14766	1	1	59684			
Q7L014	2	2	39593			
Q9UQ80	11	12	132765			
Q9UNL2	1	1	12540			
Q8WUM4	17	20	163267			
O60313	13	13	91999			
P49908	1	1	640			
O95428	2	2	33241			
Q14914	12	15	159253			
O00499	4	4	76711			
Q8TB37	1	1	3026			
Q03154	26	34	194454			
Q5TC12	1	1	34124			
Q9Y287	1	1	2883			
Q9BX66	12	12	80318			
Q14974	10	13	115614			
O43399	10	12	240372			
Q7LBR1	1	1	42243			
P04792	21	32	1262872			
Q9NPA8	1	1	22098			
Q9Y2D5	2	2	45109			
O14732	4	4	203093			
P55795	2	3	275742			
Q14894	8	8	84691			
Q96FW1	6	7	122964			
Q6WKZ4	1	1	8841			
Q969Z3	3	4	82004			
P01824	1	1	37880			
P02760	3	3	104241			
P18077	3	4	134928			
Q96DC8	9	10	63396			
P41218	1	1	17840			
P36578	10	10	226062			
P00746	1	1	21271			
Q15046	7	7	59109			
Q9BRX8	4	4	93225			
P25787	8	10	86220			
P34059	2	2	24178			
O95302	2	2	80065			
O43837	6	7	62498			
P00734	3	4	70624			
P63241	3	4	46156			
P50851	12	12	520385			
O15320	1	1	6098			
P25940	1	1	45119			
Q86YH6	5	5	44468			
Q8HWS3	1	1	21669			
P22392	1	2	66461			
Q96ER9	1	1	8152			
P63096	1	2	53583			
Q9NUQ6	2	2	27871			
O95816	2	2	71190			
Q12959	6	6	133414			
O43182	2	2	24184			
P07360	3	3	85741			
P00918	13	18	382047			
P02461	1	1	11837			
Q9UJY5	1	1	5880			
P36404	1	1	30739			
Q8IUZ5	3	3	65504			
Q6UX06	6	6	62448			
P13866	2	2	18712			
Q9NX14	2	2	36214			
P82663	1	1	19420			
O60869	1	1	72837			
P16949	3	3	120944			
Q9UI12	13	15	93262			
Q9BVJ7	3	3	74712			
Q92688	2	2	44430			
P49023	1	1	5347			
P28065	3	3	75877			
P23588	8	9	119288			
Q9NP92	1	1	4151			
O14773	5	9	549901			
Q96DA6	1	1	27092			
P00846	1	1	54208			
P35244	1	1	38767			
P82909	5	7	91816			
Q93099	9	11	113601			
Q9H446	1	1	51638			
P35237	7	9	206468			
P26641	15	18	280313			
Q5VUM1	1	1	9137			
Q695T7	2	2	44304			
P32322	1	1	19205			
Q8NFU3	4	4	191944			
O14879	1	1	12471			
P13647	2	2	61175			
P02774	10	11	166085			
Q9ULV4	7	7	95165			
Q96DB5	4	5	77554			
Q01459	2	2	123965			
Q96RQ1	1	1	5261			
P00450	27	37	191219			
Q15800	1	1	2156			
Q96NL6	1	1	14756			
O14832	3	3	36679			
P20674	8	12	395930			
P10301	2	2	33092			
P55145	2	2	77853			
Q9Y608	1	1	7791			
Q9UHK6	12	16	479841			
O75150	1	1	13135			
Q9Y673	1	1	32221			
O43143	7	7	172115			
P48539	1	1	85388			
Q53H12	2	2	26370			
Q5T619	1	1	9303			
P06454	5	8	119212			
P49588	15	15	302475			
Q92506	5	5	151999			
Q9NRX4	3	5	120083			
Q7L523	1	1	2212			
O75506	1	1	2657			
Q9NZU0	2	2	51840			
P32119	10	12	1010050			
P23786	15	15	88059			
P55042	1	1	39840			
O14841	4	4	66054			
Q13228	25	27	102873			
Q9C0E2	1	1	53574			
Q9H3S4	1	1	69865			
O95169	1	1	18070			
Q9Y4L1	14	17	138266			
Q7RTV0	1	1	17386			
Q99622	1	1	5551			
P78540	9	11	51690			
Q14152	10	12	45062			
O14558	5	5	49008			
P13987	1	1	51372			
Q9H1A3	1	1	19516			
Q9UL12	8	9	119158			
P50895	7	7	86822			
P15289	5	6	40614			
P63279	1	1	94979			
P98164	58	68	475245			
P62701	3	3	76098			
P00387	8	10	116196			
P50238	1	1	50129			
P16104	1	1	7703			
Q5XKE5	1	1	519448			
Q9H1E3	1	1	76306			
O15230	42	49	397067			
Q99684	1	1	62121			
Q7L3T8	1	1	14043			
Q9BSD7	2	2	14114			
P22102	6	6	167801			
O95758	1	1	37828			
O00592	3	3	51524			
Q09666	130	142	694916			
Q9HCC0	16	20	187724			
P07339	18	25	917735			
P17655	16	17	303581			
P04839	1	1	5380			
Q07065	18	19	127229			
Q6PCB0	11	17	108066			
Q9P016	1	1	9945			
Q15102	4	4	163711			
Q6ZXV5	1	1	6861			
Q96AY3	6	6	47792			
Q14566	2	2	27781			
P01608	1	1	72006			
P05787	34	44	1476183			
Q16625	1	1	67224			
Q13085	1	1	16280			
P16278	10	10	227970			
Q13442	3	3	88843			
P35658	1	1	1691			
Q9GZZ1	1	1	51097			
Q13177	2	2	47330			
Q8TAQ2	1	1	160573			
Q9HBL7	2	2	39704			
Q9ULZ2	1	1	2412			
P67870	1	1	25281			
Q14240	4	4	147935			
Q14444	4	4	59898			
O95793	1	1	14979			
Q8IZR5	1	1	7920			
Q08945	1	1	48964			
Q00688	4	4	114175			
P30711	5	7	188972			
Q96DN5	1	1	23722			
Q16698	13	17	360730			
Q99536	13	15	577890			
O00743	1	1	42208			
Q02790	5	6	140169			
Q13428	1	1	14238			
P31146	7	7	76140			
Q8WXH0	7	7	57988			
Q9BYC9	1	1	15206			
Q99797	2	2	83622			
P61026	5	6	72855			
Q16555	15	19	479290			
O00299	11	12	286977			
Q9Y305	5	5	95448			
Q63ZY3	3	3	32993			
Q8NFZ0	1	1	33497			
O75937	2	2	29800			
Q13823	1	1	38498			
P46777	3	4	117072			
Q8N8Y2	10	12	354633			
P68400	1	1	15825			
O00487	3	3	68347			
Q9NXG2	2	2	125992			
Q9C0E8	1	1	9362			
P08237	16	16	129920			
Q7Z3D6	9	10	164328			
Q99614	1	1	27921			
P46783	3	3	131418			
Q9UDW1	2	2	79882			
Q92945	10	11	249720			
O95562	1	1	10251			
Q9Y5K6	5	5	71153			
P21964	2	2	23691			
Q9NZA1	2	2	11672			
P00540	1	1	2794590			
P07910	7	9	270549			
Q13363	5	5	103973			
O75131	5	5	116920			
O43426	1	1	280963			
O43301	10	10	294689			
P45381	4	4	48388			
O94919	1	1	18372			
P40763	2	2	10409			
P11233	1	1	36187			
Q99490	1	1	169163			
P09327	19	20	126493			
Q8N335	4	4	124161			
Q13310	3	3	90185			
P62847	2	2	38211			
O15394	1	1	33579			
P05164	1	1	9753			
P08637	1	1	15794			
P04066	6	6	59901			
Q92896	1	1	17333			
O14786	2	2	26141			
P0CW27	1	1	53731			
P10153	2	2	17289			
Q9NVT9	1	1	18625			
O60701	16	18	143606			
P31639	1	1	1875			
P55196	1	1	26308			
Q9UBD6	3	3	20300			
Q9UKV3	1	1	3651			
Q9UGT4	2	2	10795			
Q6P2Q9	4	4	530268			
O60841	1	1	18052			
P15954	2	3	13624			
P12277	17	27	726785			
Q53EU6	4	4	40480			
P01857	5	7	952559			
P08670	51	77	3275340			
Q9Y295	3	3	36455			
P11310	19	25	412855			
P01137	1	1	9571			
O95872	1	1	27817			
Q13724	5	6	45159			
P60900	5	6	70647			
P15090	5	7	82785			
Q9Y5M8	1	1	18953			
P23381	11	15	116745			
P54577	9	9	104008			
Q9Y3B8	3	3	84022			
P07585	10	12	103418			
Q9NZQ9	1	1	132640			
Q96AG4	7	7	122647			
Q9UJS0	14	16	300904			
Q9BV79	2	2	69787			
P06748	10	16	287076			
P21266	5	7	75810			
P61088	2	4	81139			
P54725	2	3	23456			
B9A064	1	1	142922			
Q16643	3	3	39142			
Q96TA1	7	8	151094			
P49406	3	3	58538			
Q8TAT6	3	3	26518			
Q9NR45	4	4	220841			
P30626	6	7	197263			
Q9NUJ1	10	14	145895			
Q99733	7	7	69845			
Q9NVS9	5	6	177773			
P00740	7	9	257998			
Q9BTU6	1	1	6609			
Q99417	2	2	25074			
P62993	3	3	109519			
P16070	2	2	43493			
Q9NZL9	4	4	142659			
Q00013	1	1	17757			
P28838	29	33	242361			
O00142	1	1	52841			
P41227	1	1	6064			
Q08752	1	1	30036			
Q9UN37	3	3	76079			
P35573	5	5	70164			
P30533	6	6	119031			
O43678	3	4	103321			
P62140	2	2	68732			
Q9BRG1	1	1	79397			
Q15654	1	1	9738			
Q9BVL4	1	1	9982			
P04434	1	1	6938			
Q5TBA9	1	1	3028			
Q9UHJ6	1	1	19930			
Q7Z4H8	1	1	1601			
P07711	3	3	29058			
Q8WXF1	3	3	68215			
P38606	30	42	215225			
Q9BY49	5	5	78807			
O43795	4	4	69377			
O95989	1	1	31310			
Q15599	3	3	43876			
Q9H0A8	1	1	11955			
Q8TB22	4	4	73432			
P06733	32	48	2496860			
O75629	1	1	16915			
Q15366	4	4	285887			
Q8N1F8	1	1	28580			
P50914	3	4	201744			
Q07507	1	1	31817			
Q9Y4P3	2	2	26615			
P09960	16	18	123223			
A0FGR8	3	3	44117			
P80303	2	2	22134			
P08962	1	1	5583			
Q56VL3	2	2	48668			
Q96SU4	1	1	29271			
Q00341	11	11	104258			
P02787	29	40	660734			
P10909	10	12	758208			
Q9H1J5	1	1	95548			
Q8N4T8	4	4	75965			
P23284	12	14	399493			
Q14558	1	1	21073			
Q969Z0	1	1	26481			
Q14657	1	1	4247			
P04433	1	1	81324			
Q9UBX5	2	2	41488			
P49756	3	3	64877			
P51911	4	4	30362			
P46952	6	6	128480			
Q9NUV9	2	2	19312			
Q9NZW5	3	3	42874			
Q96IU4	7	10	440845			
P29692	9	10	273576			
Q07960	12	15	121428			
P13716	5	6	100255			
P05166	19	25	404009			
Q15628	2	2	16827			
Q14562	1	1	16338			
O43242	10	10	69386			
O75439	3	3	78552			
P10451	4	4	38811			
Q14118	3	3	138116			
P11047	28	36	607756			
P25205	5	5	34013			
A0AVT1	11	11	76088			
Q15388	1	1	24701			
Q16762	7	10	325332			
Q6PI48	8	8	118200			
Q14624	22	24	130087			
O15439	7	7	57441			
P98179	4	5	41086			
Q9NX63	5	5	155603			
Q9UI09	6	6	93760			
Q75V66	1	1	50730			
Q9P0Z9	4	4	18575			
P82970	2	2	31973			
Q6RW13	1	1	4166			
P05556	11	11	152437			
O15144	9	12	263280			
Q96QZ7	1	1	2300			
P22897	1	1	31725			
P61966	1	1	4665			
O43920	2	2	84880			
Q12955	12	12	74918			
Q15393	11	12	211120			
O60885	1	1	45634			
Q02880	1	1	21220			
P48739	1	1	17053			
P52788	3	3	74745			
P29966	9	12	63874			
P35613	5	5	167837			
O95954	13	16	173679			
P55263	3	4	91407			
Q9BYV1	10	11	83068			
Q8TEA8	2	2	41982			
P02763	7	12	160361			
Q9NXU5	3	3	49178			
P49721	7	7	96426			
Q99714	13	19	344438			
P13861	9	9	117885			
P30405	6	6	101900			
Q6VY07	2	2	6403			
P35219	1	1	34505			
Q03252	19	19	209429			
P26196	5	5	90050			
Q08495	6	6	43676			
P39748	1	1	49480			
O75208	7	7	337603			
P19971	16	20	100730			
P09543	3	3	127654			
O00231	6	6	78376			
P01031	19	19	164889			
P01699	1	1	33309			
O95433	2	2	83251			
Q15233	5	6	94365			
P30046	2	2	244438			
Q9Y5X3	8	9	68808			
P46976	4	4	97678			
P49736	2	2	18124			
Q02487	1	1	18765			
O15247	1	1	4936			
Q13938	3	3	74087			
P61916	2	2	92871			
Q9BS92	4	4	45353			
Q96BQ5	1	1	16523			
Q8TF65	2	3	49990			
Q8NBJ7	3	3	100465			
Q5D862	1	1	15017			
P30038	25	33	132003			
O43681	3	4	120201			
P40227	9	10	139634			
Q6P1M3	2	2	26999			
P49368	12	13	171115			
P50135	5	5	146953			
P11277	23	23	114122			
Q9UBQ7	8	10	185289			
O00116	1	1	18814			
P19623	2	2	80346			
O95295	1	1	28540			
Q8IZF2	1	1	2211			
Q16629	5	5	152100			
Q13277	1	1	10843			
P04196	7	8	109881			
P47736	2	2	7627			
P26038	33	41	633133			
Q8WUY1	1	1	32748			
Q9Y6N9	1	1	23732			
Q96QK1	16	17	245717			
Q86UE4	8	8	41387			
A0AV96	3	3	24253			
Q13409	7	7	103244			
Q15287	1	1	8612			
P02675	24	33	421311			
Q96A26	4	4	125405			
P08574	2	4	134404			
Q13283	4	4	44302			
O60308	1	1	82822			
P62851	5	5	314625			
O15145	4	4	167548			
Q9NZR1	1	1	46982			
P19823	19	23	220482			
P62854	1	2	9346			
Q9Y371	4	4	51914			
Q07666	3	3	149269			
O60285	1	1	76857			
Q00325	12	13	215788			
Q9Y303	2	2	108387			
P10599	4	5	1191374			
Q9H098	1	1	16014			
Q9NR28	3	3	112476			
Q5EBL8	2	2	147580			
P53621	23	23	167390			
Q9Y224	7	7	50936			
O76003	6	6	106183			
Q96DI7	1	1	19778			
P09429	3	5	72608			
O75832	1	1	24231			
O60493	4	4	81030			
P35914	5	6	87620			
Q86XW9	1	1	68750			
Q9NTK5	6	6	131550			
Q9H2D6	2	2	62534			
Q9NX18	1	1	42484			
Q9ULA0	4	4	76780			
P53370	1	1	290935			
Q9Y5K8	9	9	160404			
P05997	1	1	10177			
O15126	5	5	41549			
Q15436	2	2	41354			
P21953	2	2	4458			
Q9Y266	4	4	79088			
Q02318	5	5	79463			
Q9NR12	3	3	48878			
P61604	9	12	1639800			
P02647	19	29	473042			
P40121	13	16	165524			
Q5HYK3	1	1	3612			
P28066	7	7	89459			
Q9UBI6	2	3	84015			
Q16401	8	9	110857			
C9J6K1	1	1	33001			
P53004	7	7	224397			
P11142	19	24	815148			
Q9Y2E5	3	3	27991			
Q9H479	5	5	74617			
Q15651	1	1	1743			
Q969V3	1	1	15899			
P28906	1	1	661			
P61923	4	4	75683			
P08754	1	1	11214			
Q13423	34	41	249029			
Q9Y315	1	1	6635			
Q6UW68	1	1	17629			
P47755	5	6	128569			
P11216	26	32	306697			
O43674	2	2	54668			
Q9UGM6	2	2	62728			
O43819	2	2	65530			
P55010	3	3	33370			
Q8WUP2	1	1	69618			
Q16527	3	3	21384			
Q6YP21	1	1	20601			
Q9NP61	1	1	9085			
Q9H5X1	1	1	16064			
Q53FA7	3	3	64970			
Q9BUJ2	4	4	50489			
O43707	42	56	466326			
Q9NZB2	6	6	48872			
P15088	4	4	232415			
Q93052	5	6	119451			
Q01813	23	26	205729			
Q02952	20	22	89792			
P28482	5	6	160849			
O14681	1	1	157887			
Q96BT1	1	1	16426			
P06703	3	3	493603			
Q9UBW8	1	1	1000			
P48506	1	1	12769			
P54886	8	9	67538			
P04899	4	4	40401			
P46778	1	2	47647			
O60437	4	4	56764			
P22314	36	48	385122			
Q9Y2W1	1	1	8610			
P19801	10	11	109996			
Q86XP3	1	1	49684			
Q96FV2	3	4	114099			
Q7Z3U7	1	1	3302			
O14556	1	1	114853			
Q9NX24	1	1	34949			
P62424	6	7	149201			
Q03164	1	1	41606			
O75822	1	1	39260			
A6NCI4	2	2	17349			
A2VDF0	1	1	1322			
P05543	2	2	80991			
P16885	38	39	177319			
P02766	11	17	126618			
Q7Z406	1	1	25859			
Q9H5V8	1	1	41778			
O14957	1	1	24573			
Q16363	24	25	260223			
P15848	2	2	26536			
P51858	10	11	616218			
Q9Y2B0	4	5	61466			
P01011	14	17	210354			
O60825	1	1	30327			
P52306	3	3	42045			
Q9H4M9	6	6	63518			
Q9NS69	2	2	24643			
P20700	14	14	123633			
P02489	6	7	143260			
P18031	3	3	119813			
P30153	13	15	197990			
P10606	9	12	551041			
P50440	28	38	447343			
P35749	37	43	97632			
P35754	4	6	167745			
P32455	6	6	283376			
Q9UHE5	2	3	62825			
Q14166	4	4	121228			
O00233	3	3	71423			
Q9Y4W6	9	9	112769			
P62306	1	1	2737			
P00439	12	12	100681			
Q9UNN8	1	1	36018			
O15083	1	1	62174			
P37235	2	2	25237			
P05091	22	31	895693			
Q0VAM2	1	1	24573			
O43615	7	7	106930			
P13073	10	11	440749			
P67936	8	10	151353			
Q86TX2	1	2	23142			
P06727	24	28	162210			
P51452	6	7	187842			
P63000	1	1	39703			
P16452	5	5	127198			
O00410	6	6	84334			
Q9UPZ6	1	1	25168			
P62826	6	7	720295			
P20711	15	18	202567			
B7Z1M9	1	1	59931			
P18085	4	4	58136			
Q1EHB4	2	2	25176			
P53634	5	5	324460			
Q9BU61	2	2	69250			
Q8WZ55	3	3	76385			
Q13683	3	3	200017			
Q99541	16	21	177351			
Q86XE5	7	8	98601			
Q86WA6	8	10	118443			
P21796	18	24	457827			
Q15075	9	9	130251			
Q96I15	1	1	35841			
P50454	12	18	156701			
O14744	1	2	150447			
Q92599	3	3	43989			
Q2TB90	11	11	109205			
Q8N357	1	1	45220			
P32189	1	1	25815			
Q12765	5	6	89915			
Q9HBH1	2	2	117832			
Q8WWC4	3	3	97377			
Q13232	4	4	129373			
P43304	13	14	118725			
Q92544	1	1	9794			
P30740	15	19	134749			
Q9NWH7	1	1	10041			
P00326	1	3	9665			
P28161	2	2	13255			
P62633	3	3	31443			
P16284	4	4	63578			
O00584	4	4	147613			
Q9Y646	5	5	137969			
P13645	15	17	137705			
Q9H3R0	1	1	73278			
Q9BUF5	5	5	32846			
Q96HR9	2	2	27159			
Q9Y2H5	1	1	15979			
P62333	5	5	64818			
O95163	1	1	22909			
P26006	4	4	71356			
Q9NPE2	1	1	112596			
P23229	8	8	137447			
Q8WUW1	1	1	26639			
Q9H6R3	14	14	140898			
P30039	15	19	150272			
P53680	1	1	80841			
Q9BX97	2	2	19156			
O95340	1	1	32481			
Q15637	5	5	44688			
Q9NPL8	2	2	12365			
P49354	1	1	1397			
P27216	1	1	9622			
P46459	11	11	149513			
P02794	11	16	131542			
O43464	6	6	148631			
P53367	5	5	53238			
Q5T4S7	3	3	58229			
P25786	10	10	162811			
O60936	6	7	33855			
Q96HE7	7	7	77229			
Q6NZI2	9	12	358216			
Q9NVD7	4	4	30237			
P13611	12	13	108134			
Q14697	33	42	361911			
P08294	6	7	106872			
P12111	104	131	258846			
P07437	5	8	409424			
Q6FI81	4	4	103729			
Q86UT6	1	1	32790			
O94760	9	11	424927			
P52735	1	1	11104			
Q9H299	3	3	76987			
O14617	6	6	48284			
P50552	5	5	37263			
Q14141	1	1	5508			
P49589	1	1	35314			
O75368	6	7	115596			
Q8N3V7	3	3	12399			
P62330	2	3	106186			
P16444	7	8	122119			
Q7Z434	3	3	32389			
P30044	10	15	944542			
Q53GS9	1	1	1604			
P01621	1	1	86795			
Q13621	6	6	68433			
P12081	4	4	130202			
P31277	1	1	25513			
P58107	13	16	179463			
Q7Z2W9	1	1	23379			
P04075	23	35	1747657			
P02743	9	11	82578			
Q9NQG5	5	5	117539			
Q5VW32	2	2	31827			
P13807	6	6	83629			
Q16540	1	1	14660			
P15170	1	1	39616			
Q93062	2	2	43959			
Q9Y6W5	1	1	29551			
Q12849	3	4	39219			
Q9UMY4	1	1	29125			
Q13315	1	1	40595			
P61353	1	1	49756			
P62277	4	5	148921			
Q9NWV4	1	1	7377			
Q02252	28	37	358936			
Q96H20	1	1	46408			
P00568	4	4	148828			
Q13242	1	1	62053			
P62191	4	4	74282			
P45974	18	19	152742			
Q9BZK7	1	1	12507			
Q86Y39	2	3	65692			
P84098	4	5	122998			
Q9BYT8	4	4	62247			
P14317	2	2	48717			
O00476	1	1	14484			
