prot	pepSeqNum	tgNum	guot_L130410_025c_SW		
P02452	8	8	1103314		
Q5JTV8	4	4	12277		
O15127	2	3	54928		
Q8TBP6	1	1	5577		
Q99460	7	7	28985		
O75390	16	18	622901		
P48507	1	1	17096		
Q9BRP8	2	2	3542		
Q9Y291	1	1	14142		
P61247	7	8	59176		
Q08174	1	1	7913		
Q8N392	5	5	30642		
P22033	10	10	47947		
Q9HD67	1	1	2118		
A6ND91	2	2	18536		
P49591	5	5	25998		
P49585	1	1	10953		
Q12931	19	22	17798		
Q53GI3	1	1	13650		
Q8TBC4	1	1	20909		
Q9H3K2	1	1	12962		
Q15427	1	1	3054		
P42765	19	26	360266		
Q9UJ83	1	1	124704		
Q8NBX0	6	6	79089		
Q96LJ7	1	1	4467		
Q12929	4	4	18270		
P02748	13	14	124729		
P10253	15	16	63276		
P51149	10	12	123175		
Q8IVF2	12	12	158418		
Q01995	18	19	53479		
O00338	1	1	6632		
Q4KMP7	1	1	32201		
Q9BUQ8	1	1	3310		
Q96HN2	2	2	114171		
P11413	12	13	64571		
Q8IYB8	1	1	10256		
Q969H8	4	4	66232		
Q9BV20	4	4	12245		
Q07020	4	4	45132		
P04181	9	10	329020		
Q5SSJ5	7	8	46856		
Q15437	4	4	33374		
Q8TEK3	1	1	17324		
P55036	2	2	28089		
Q53FZ2	9	9	35201		
P84243	1	1	260		
O43813	5	5	33351		
P35558	20	23	52528		
Q9UBF2	1	1	380		
P42704	52	63	74965		
O95292	2	2	56666		
O94905	6	7	39576		
O43895	6	6	48050		
P62312	2	2	14783		
P02765	3	3	287965		
Q9H2W6	4	4	16527		
Q9Y5P6	1	1	14390		
P06756	8	8	54875		
P55735	2	2	28336		
Q8NBQ5	7	7	131208		
P13674	8	8	86433		
O14966	1	1	139385		
P55285	6	6	21012		
Q9BPX6	1	1	400		
O43852	12	14	55885		
P53041	1	1	7104		
Q14254	8	8	35755		
Q08431	1	1	15147		
O00483	4	5	88366		
Q92522	4	4	35689		
Q96B36	1	1	18953		
P51606	4	4	30113		
P00505	31	37	923250		
Q9ULC4	1	1	3102		
P27694	4	4	14164		
P05198	6	6	44416		
Q92499	12	12	54603		
P98160	68	93	209954		
P55268	30	34	892121		
Q9HAT2	7	8	32763		
P08185	3	3	78715		
O60763	18	19	87245		
Q13564	2	2	4891		
P05026	7	10	31102		
Q13586	4	4	12725		
P05455	10	10	40617		
P17516	1	1	10910		
O94906	4	4	19840		
P04271	1	1	95099		
Q96FN4	1	1	8663		
O95379	1	1	1510		
O96019	2	2	16857		
Q2M389	1	1	120		
Q99715	44	46	47351		
P51991	10	13	33553		
Q9H1K1	1	1	44447		
P08195	9	10	310871		
Q9H008	4	4	31695		
P32929	3	3	33755		
P04217	10	14	210533		
P43686	6	6	16483		
Q9BQI9	1	1	2071		
Q96G23	1	1	14208		
Q5SYB0	1	1	30189		
P48637	20	23	138083		
Q9UGV2	1	1	4966		
P00533	2	2	23056		
P63208	4	5	51004		
P63010	9	9	347044		
Q9UMS0	1	1	29130		
P02549	25	26	110531		
Q9H3Z4	1	1	9492		
P21589	3	4	55851		
A6NL28	3	4	30661		
P04004	7	10	217480		
P31323	4	4	57597		
Q9UJW0	1	1	10768		
Q9NR31	3	4	34314		
P28074	2	3	39351		
O95479	2	2	19391		
O94979	11	11	34779		
Q00610	50	62	252968		
Q9UN86	2	2	32472		
Q6AWC2	1	1	1309654		
Q9BZQ8	1	1	6442		
Q9NRL2	1	1	6801		
Q6P1X6	2	2	22786		
P12956	24	29	150279		
P29144	3	3	22642		
P11217	1	1	15588		
Q14157	1	1	3787		
P49441	1	1	4473		
O96009	3	3	45503		
Q06124	1	1	7881		
Q8WXD9	1	1	22169		
Q14449	7	7	73048		
Q4V328	2	2	12618		
Q92626	10	10	37575		
Q10570	2	2	245462		
O43670	1	1	6003		
O43175	8	8	103119		
O75874	20	23	452205		
Q9HCH0	1	1	43657		
P36871	25	28	107816		
O75569	2	2	13187		
P69891	1	1	92911		
Q8NE71	2	2	10207		
P60174	19	29	262863		
Q16531	14	14	219275		
Q08209	1	1	99416		
P11172	1	1	7759		
Q53RD9	1	1	20204		
Q14376	2	2	44257		
P38159	3	3	63763		
P08559	9	9	148887		
Q5JRX3	10	10	38592		
Q9Y2S2	12	14	1241832		
O75367	7	9	82020		
P37802	13	16	972600		
O00303	7	8	71748		
P51610	1	1	5840		
O75369	75	90	166597		
O75608	5	6	33760		
Q8TCD5	4	4	48649		
Q9HAU5	1	1	21956		
P98095	4	4	27969		
P10643	6	7	90082		
O94855	2	2	27377		
P11021	35	54	284423		
Q96CP2	1	1	1981		
P01833	10	10	201303		
Q96AC1	7	8	62606		
P16219	15	17	169701		
Q9HB40	5	6	34237		
O60240	25	28	387295		
Q92598	9	9	27758		
P55157	4	4	87051		
Q9BUP3	6	6	48650		
P60981	3	4	27944		
Q6UB98	1	1	1699		
P16401	4	4	517956		
Q86X76	2	2	45520		
Q16775	7	7	73400		
P29536	1	1	6683		
P24310	2	2	53819		
Q86WU2	9	11	73596		
Q9NZJ7	3	3	9618		
Q04446	9	9	83658		
Q68CK6	8	11	30535		
Q9BXF6	2	2	3517		
P48728	1	1	6904		
Q99611	1	1	10490		
O43504	1	1	27333		
Q96AB3	7	10	71659		
P10809	48	66	181717		
Q04837	6	8	51540		
Q15363	2	2	9069		
O43493	2	2	3931		
Q8NE62	12	13	28756		
Q9BY66	1	1	15794		
Q9HAC7	2	2	27786		
P18206	54	60	180720		
Q8NEY4	10	10	32110		
Q96BS2	1	1	1010		
P38117	14	17	242682		
O15260	2	2	79013		
Q8WXX7	1	1	41760		
O94808	1	1	7253		
Q96FZ7	1	1	18743		
P22732	1	1	69535		
Q9UF12	7	10	44470		
P05783	37	51	41806		
P08133	27	34	440786		
O00232	3	3	59888		
P84090	1	1	6279		
Q8IUR0	1	1	50149		
P15374	4	4	27038		
P47985	2	4	39054		
Q9Y6U3	17	19	24413		
P13796	17	19	57458		
P51812	1	1	18849		
P41732	1	1	1032		
P40306	3	4	24790		
P55072	29	34	129459		
P20339	1	1	12001		
Q99829	7	7	42608		
Q9NYU2	13	13	50670		
P31949	4	5	113656		
P02753	3	3	167940		
Q9Y285	2	2	17599		
Q12907	4	4	43503		
Q5VWZ2	6	6	75934		
Q04941	1	1	7658		
Q96I59	3	3	15818		
P08648	1	1	5953		
Q7L5N7	1	1	14006		
P62136	3	3	30302		
Q14766	1	1	44210		
Q7L014	2	2	17189		
Q9UQ80	11	12	47749		
Q9UNL2	1	1	11594		
Q8WUM4	17	20	47632		
O60313	13	13	103153		
P49908	1	1	350		
O95428	2	2	2757		
Q14914	12	15	78332		
O00499	4	4	31759		
Q8TB37	1	1	690		
Q03154	26	34	63183		
Q5TC12	1	1	29865		
Q9Y287	1	1	1622		
Q9BX66	12	12	138702		
Q14974	10	13	38935		
O43399	10	12	231940		
Q7LBR1	1	1	16629		
P04792	21	32	262707		
Q9NPA8	1	1	32223		
Q9Y2D5	2	2	16442		
O14732	4	4	26034		
P55795	2	3	26714		
Q14894	8	8	26272		
Q96FW1	6	7	29049		
Q6WKZ4	1	1	3917		
Q969Z3	3	4	51624		
P01824	1	1	39243		
P02760	3	3	142690		
P18077	3	4	64756		
Q96DC8	9	10	131646		
P41218	1	1	12004		
P36578	10	10	56388		
P00746	1	1	65185		
Q15046	7	7	78113		
Q9BRX8	4	4	166636		
P25787	8	10	46363		
P34059	2	2	7943		
O95302	2	2	50800		
O43837	6	7	27404		
P00734	3	4	134392		
P63241	3	4	17675		
P50851	12	12	106705		
O15320	1	1	4463		
P25940	1	1	53710		
Q86YH6	5	5	29046		
Q8HWS3	1	1	17729		
P22392	1	2	29897		
Q96ER9	1	1	2132		
P63096	1	2	66246		
Q9NUQ6	2	2	8076		
O95816	2	2	17488		
Q12959	6	6	60884		
O43182	2	2	13922		
P07360	3	3	132016		
P00918	13	18	535064		
P02461	1	1	91704		
Q9UJY5	1	1	1893		
P36404	1	1	16989		
Q8IUZ5	3	3	38783		
Q6UX06	6	6	55326		
P13866	2	2	12060		
Q9NX14	2	2	21591		
P82663	1	1	5748		
O60869	1	1	19884		
P16949	3	3	45945		
Q9UI12	13	15	16098		
Q9BVJ7	3	3	24745		
Q92688	2	2	11089		
P49023	1	1	5347		
P28065	3	3	26790		
P23588	8	9	42204		
Q9NP92	1	1	3018		
O14773	5	9	429918		
Q96DA6	1	1	8821		
P00846	1	1	19759		
P35244	1	1	11030		
P82909	5	7	117715		
Q93099	9	11	88403		
Q9H446	1	1	18030		
P35237	7	9	109222		
P26641	15	18	84149		
Q5VUM1	1	1	4250		
Q695T7	2	2	24252		
P32322	1	1	6293		
Q8NFU3	4	4	37671		
O14879	1	1	8509		
P13647	2	2	28788		
P02774	10	11	259279		
Q9ULV4	7	7	27007		
Q96DB5	4	5	35284		
Q01459	2	2	49373		
Q96RQ1	1	1	5134		
P00450	27	37	229627		
Q15800	1	1	1724		
Q96NL6	1	1	31370		
O14832	3	3	11879		
P20674	8	12	129849		
P10301	2	2	17644		
P55145	2	2	38049		
Q9Y608	1	1	530		
Q9UHK6	12	16	18473		
O75150	1	1	2701		
Q9Y673	1	1	34716		
O43143	7	7	62592		
P48539	1	1	23931		
Q53H12	2	2	17522		
Q5T619	1	1	190		
P06454	5	8	15137		
P49588	15	15	67146		
Q92506	5	5	26453		
Q9NRX4	3	5	67977		
Q7L523	1	1	2102		
O75506	1	1	650		
Q9NZU0	2	2	20192		
P32119	10	12	1100194		
P23786	15	15	36064		
P55042	1	1	9013		
O14841	4	4	28582		
Q13228	25	27	407226		
Q9C0E2	1	1	177569		
Q9H3S4	1	1	17091		
O95169	1	1	14220		
Q9Y4L1	14	17	134091		
Q7RTV0	1	1	4758		
Q99622	1	1	4707		
P78540	9	11	246009		
Q14152	10	12	69236		
O14558	5	5	156721		
P13987	1	1	28591		
Q9H1A3	1	1	17881		
Q9UL12	8	9	66951		
P50895	7	7	87340		
P15289	5	6	20530		
P63279	1	1	21878		
P98164	58	68	76273		
P62701	3	3	34231		
P00387	8	10	124567		
P50238	1	1	25784		
P16104	1	1	1050		
Q5XKE5	1	1	14727		
Q9H1E3	1	1	20785		
O15230	42	49	258547		
Q99684	1	1	39842		
Q7L3T8	1	1	8005		
Q9BSD7	2	2	3263		
P22102	6	6	86419		
O95758	1	1	11751		
O00592	3	3	30632		
Q09666	130	142	210155		
Q9HCC0	16	20	41861		
P07339	18	25	190317		
P17655	16	17	83692		
P04839	1	1	2253		
Q07065	18	19	86392		
Q6PCB0	11	17	72705		
Q9P016	1	1	1062		
Q15102	4	4	48852		
Q6ZXV5	1	1	4279		
Q96AY3	6	6	19895		
Q14566	2	2	16358		
P01608	1	1	43620		
P05787	34	44	34965		
Q16625	1	1	69492		
Q13085	1	1	15505		
P16278	10	10	62501		
Q13442	3	3	32628		
P35658	1	1	910		
Q9GZZ1	1	1	40926		
Q13177	2	2	13144		
Q8TAQ2	1	1	233885		
Q9HBL7	2	2	21796		
Q9ULZ2	1	1	611		
P67870	1	1	10716		
Q14240	4	4	45642		
Q14444	4	4	30472		
O95793	1	1	3525		
Q8IZR5	1	1	4316		
Q08945	1	1	12168		
Q00688	4	4	132719		
P30711	5	7	62197		
Q96DN5	1	1	11336		
Q16698	13	17	163648		
Q99536	13	15	135451		
O00743	1	1	12077		
Q02790	5	6	47376		
Q13428	1	1	4368		
P31146	7	7	39444		
Q8WXH0	7	7	22554		
Q9BYC9	1	1	11084		
Q99797	2	2	27130		
P61026	5	6	31088		
Q16555	15	19	122173		
O00299	11	12	61043		
Q9Y305	5	5	47857		
Q63ZY3	3	3	27529		
Q8NFZ0	1	1	7347		
O75937	2	2	10497		
Q13823	1	1	6908		
P46777	3	4	36487		
Q8N8Y2	10	12	79638		
P68400	1	1	5618		
O00487	3	3	21906		
Q9NXG2	2	2	22890		
Q9C0E8	1	1	5201		
P08237	16	16	51172		
Q7Z3D6	9	10	62913		
Q99614	1	1	10824		
P46783	3	3	39015		
Q9UDW1	2	2	31715		
Q92945	10	11	28378		
O95562	1	1	920		
Q9Y5K6	5	5	35167		
P21964	2	2	12305		
Q9NZA1	2	2	14233		
P00540	1	1	1417490		
P07910	7	9	94502		
Q13363	5	5	118892		
O75131	5	5	102470		
O43426	1	1	21638		
O43301	10	10	166718		
P45381	4	4	40663		
O94919	1	1	6625		
P40763	2	2	5292		
P11233	1	1	28987		
Q99490	1	1	46817		
P09327	19	20	207236		
Q8N335	4	4	104490		
Q13310	3	3	25132		
P62847	2	2	17827		
O15394	1	1	40836		
P05164	1	1	4720		
P08637	1	1	9834		
P04066	6	6	26568		
Q92896	1	1	277445		
O14786	2	2	11127		
P0CW27	1	1	22033		
P10153	2	2	12570		
Q9NVT9	1	1	4986		
O60701	16	18	64062		
P31639	1	1	1270		
P55196	1	1	32711		
Q9UBD6	3	3	16048		
Q9UKV3	1	1	130		
Q9UGT4	2	2	12170		
Q6P2Q9	4	4	15426		
O60841	1	1	15008		
P15954	2	3	1580		
P12277	17	27	106620		
Q53EU6	4	4	43204		
P01857	5	7	2899174		
P08670	51	77	2750770		
Q9Y295	3	3	25446		
P11310	19	25	275265		
P01137	1	1	7608		
O95872	1	1	9726		
Q13724	5	6	52519		
P60900	5	6	972510		
P15090	5	7	5535790		
Q9Y5M8	1	1	9289		
P23381	11	15	128878		
P54577	9	9	25950		
Q9Y3B8	3	3	14074		
P07585	10	12	647330		
Q9NZQ9	1	1	9648		
Q96AG4	7	7	96570		
Q9UJS0	14	16	238487		
Q9BV79	2	2	18143		
P06748	10	16	83978		
P21266	5	7	41170		
P61088	2	4	34564		
P54725	2	3	19793		
B9A064	1	1	327160		
Q16643	3	3	18538		
Q96TA1	7	8	45339		
P49406	3	3	24262		
Q8TAT6	3	3	13090		
Q9NR45	4	4	37860		
P30626	6	7	68849		
Q9NUJ1	10	14	35952		
Q99733	7	7	36725		
Q9NVS9	5	6	96546		
P00740	7	9	28403		
Q9BTU6	1	1	5756		
Q99417	2	2	14104		
P62993	3	3	17075		
P16070	2	2	33171		
Q9NZL9	4	4	25094		
Q00013	1	1	9472		
P28838	29	33	77682		
O00142	1	1	15049		
P41227	1	1	670		
Q08752	1	1	8695		
Q9UN37	3	3	59641		
P35573	5	5	26578		
P30533	6	6	43632		
O43678	3	4	55118		
P62140	2	2	24163		
Q9BRG1	1	1	43351		
Q15654	1	1	3488		
Q9BVL4	1	1	4481		
P04434	1	1	7380		
Q5TBA9	1	1	1356		
Q9UHJ6	1	1	9836		
Q7Z4H8	1	1	661		
P07711	3	3	17442		
Q8WXF1	3	3	15615		
P38606	30	42	82881		
Q9BY49	5	5	72576		
O43795	4	4	21771		
O95989	1	1	7955		
Q15599	3	3	31727		
Q9H0A8	1	1	3485		
Q8TB22	4	4	22727		
P06733	32	48	459772		
O75629	1	1	6163		
Q15366	4	4	53015		
Q8N1F8	1	1	9636		
P50914	3	4	49759		
Q07507	1	1	49275		
Q9Y4P3	2	2	16424		
P09960	16	18	56173		
A0FGR8	3	3	28597		
P80303	2	2	11934		
P08962	1	1	7279		
Q56VL3	2	2	6890		
Q96SU4	1	1	7694		
Q00341	11	11	59311		
P02787	29	40	899164		
P10909	10	12	259725		
Q9H1J5	1	1	64850		
Q8N4T8	4	4	45191		
P23284	12	14	117033		
Q14558	1	1	5326		
Q969Z0	1	1	4464		
Q14657	1	1	1321		
P04433	1	1	153935		
Q9UBX5	2	2	26669		
P49756	3	3	48729		
P51911	4	4	9501		
P46952	6	6	40150		
Q9NUV9	2	2	10870		
Q9NZW5	3	3	57548		
Q96IU4	7	10	75886		
P29692	9	10	87084		
Q07960	12	15	72843		
P13716	5	6	79049		
P05166	19	25	69308		
Q15628	2	2	41604		
Q14562	1	1	1674		
O43242	10	10	43826		
O75439	3	3	25580		
P10451	4	4	6739		
Q14118	3	3	40829		
P11047	28	36	266516		
P25205	5	5	15736		
A0AVT1	11	11	52886		
Q15388	1	1	13024		
Q16762	7	10	79152		
Q6PI48	8	8	41172		
Q14624	22	24	130607		
O15439	7	7	19129		
P98179	4	5	36748		
Q9NX63	5	5	102413		
Q9UI09	6	6	48811		
Q75V66	1	1	8779		
Q9P0Z9	4	4	14103		
P82970	2	2	3449		
Q6RW13	1	1	1391		
P05556	11	11	87714		
O15144	9	12	117161		
Q96QZ7	1	1	1703		
P22897	1	1	14444		
P61966	1	1	1190		
O43920	2	2	38469		
Q12955	12	12	13688		
Q15393	11	12	39663		
O60885	1	1	359190		
Q02880	1	1	8531		
P48739	1	1	6355		
P52788	3	3	22030		
P29966	9	12	27007		
P35613	5	5	67599		
O95954	13	16	83988		
P55263	3	4	23874		
Q9BYV1	10	11	90863		
Q8TEA8	2	2	6191		
P02763	7	12	450445		
Q9NXU5	3	3	24994		
P49721	7	7	38018		
Q99714	13	19	132947		
P13861	9	9	46971		
P30405	6	6	53454		
Q6VY07	2	2	3758		
P35219	1	1	22652		
Q03252	19	19	79989		
P26196	5	5	49328		
Q08495	6	6	50052		
P39748	1	1	11188		
O75208	7	7	50648		
P19971	16	20	81729		
P09543	3	3	89008		
O00231	6	6	32963		
P01031	19	19	128156		
P01699	1	1	14208		
O95433	2	2	37898		
Q15233	5	6	25814		
P30046	2	2	127196		
Q9Y5X3	8	9	42344		
P46976	4	4	35093		
P49736	2	2	10170		
Q02487	1	1	6179		
O15247	1	1	14768		
Q13938	3	3	60736		
P61916	2	2	21140		
Q9BS92	4	4	78160		
Q96BQ5	1	1	6190		
Q8TF65	2	3	11325		
Q8NBJ7	3	3	69223		
Q5D862	1	1	17467		
P30038	25	33	86235		
O43681	3	4	41869		
P40227	9	10	74267		
Q6P1M3	2	2	21034		
P49368	12	13	75151		
P50135	5	5	52288		
P11277	23	23	53598		
Q9UBQ7	8	10	57887		
O00116	1	1	9664		
P19623	2	2	67594		
O95295	1	1	10384		
Q8IZF2	1	1	1221		
Q16629	5	5	29000		
Q13277	1	1	10033		
P04196	7	8	74596		
P47736	2	2	5715		
P26038	33	41	127830		
Q8WUY1	1	1	18560		
Q9Y6N9	1	1	19769		
Q96QK1	16	17	80848		
Q86UE4	8	8	15894		
A0AV96	3	3	7809		
Q13409	7	7	34183		
Q15287	1	1	2550		
P02675	24	33	1685177		
Q96A26	4	4	98040		
P08574	2	4	102490		
Q13283	4	4	30597		
O60308	1	1	38273		
P62851	5	5	106274		
O15145	4	4	52548		
Q9NZR1	1	1	12986		
P19823	19	23	86596		
P62854	1	2	11045		
Q9Y371	4	4	23824		
Q07666	3	3	31227		
O60285	1	1	42637		
Q00325	12	13	145076		
Q9Y303	2	2	123744		
P10599	4	5	189723		
Q9H098	1	1	7336		
Q9NR28	3	3	41602		
Q5EBL8	2	2	31625		
P53621	23	23	94634		
Q9Y224	7	7	34849		
O76003	6	6	34151		
Q96DI7	1	1	10789		
P09429	3	5	37499		
O75832	1	1	4929		
O60493	4	4	24334		
P35914	5	6	410675		
Q86XW9	1	1	46618		
Q9NTK5	6	6	51606		
Q9H2D6	2	2	15029		
Q9NX18	1	1	2998		
Q9ULA0	4	4	22283		
P53370	1	1	72730		
Q9Y5K8	9	9	78512		
P05997	1	1	49279		
O15126	5	5	21987		
Q15436	2	2	25646		
P21953	2	2	2050		
Q9Y266	4	4	30335		
Q02318	5	5	32812		
Q9NR12	3	3	33079		
P61604	9	12	316040		
P02647	19	29	2073415		
P40121	13	16	24576		
Q5HYK3	1	1	8942		
P28066	7	7	79465		
Q9UBI6	2	3	50899		
Q16401	8	9	67349		
C9J6K1	1	1	85320		
P53004	7	7	137027		
P11142	19	24	216505		
Q9Y2E5	3	3	26203		
Q9H479	5	5	25359		
Q15651	1	1	2292		
Q969V3	1	1	6987		
P28906	1	1	30		
P61923	4	4	69375		
P08754	1	1	8018		
Q13423	34	41	445427		
Q9Y315	1	1	17175		
Q6UW68	1	1	4766		
P47755	5	6	75967		
P11216	26	32	97514		
O43674	2	2	37995		
Q9UGM6	2	2	36659		
O43819	2	2	23535		
P55010	3	3	30831		
Q8WUP2	1	1	131119		
Q16527	3	3	17341		
Q6YP21	1	1	13933		
Q9NP61	1	1	3711		
Q9H5X1	1	1	7403		
Q53FA7	3	3	24088		
Q9BUJ2	4	4	32683		
O43707	42	56	119359		
Q9NZB2	6	6	19334		
P15088	4	4	46637		
Q93052	5	6	31796		
Q01813	23	26	51689		
Q02952	20	22	61751		
P28482	5	6	56996		
O14681	1	1	11279		
Q96BT1	1	1	21088		
P06703	3	3	462181		
Q9UBW8	1	1	960		
P48506	1	1	12614		
P54886	8	9	40397		
P04899	4	4	50076		
P46778	1	2	11371		
O60437	4	4	120027		
P22314	36	48	122575		
Q9Y2W1	1	1	2105		
P19801	10	11	23838		
Q86XP3	1	1	46849		
Q96FV2	3	4	87319		
Q7Z3U7	1	1	1603		
O14556	1	1	31746		
Q9NX24	1	1	12511		
P62424	6	7	82055		
Q03164	1	1	2467		
O75822	1	1	11902		
A6NCI4	2	2	12196		
A2VDF0	1	1	420		
P05543	2	2	41128		
P16885	38	39	53366		
P02766	11	17	485978		
Q7Z406	1	1	7179		
Q9H5V8	1	1	12455		
O14957	1	1	10017		
Q16363	24	25	49426		
P15848	2	2	7184		
P51858	10	11	1700860		
Q9Y2B0	4	5	17358		
P01011	14	17	363638		
O60825	1	1	14448		
P52306	3	3	16353		
Q9H4M9	6	6	47915		
Q9NS69	2	2	27160		
P20700	14	14	35458		
P02489	6	7	15474		
P18031	3	3	30320		
P30153	13	15	148057		
P10606	9	12	130213		
P50440	28	38	98774		
P35749	37	43	45021		
P35754	4	6	185684		
P32455	6	6	97498		
Q9UHE5	2	3	28745		
Q14166	4	4	46361		
O00233	3	3	25843		
Q9Y4W6	9	9	27706		
P62306	1	1	1052		
P00439	12	12	43608		
Q9UNN8	1	1	7678		
O15083	1	1	22418		
P37235	2	2	17474		
P05091	22	31	1130117		
Q0VAM2	1	1	2985		
O43615	7	7	42207		
P13073	10	11	209076		
P67936	8	10	54442		
Q86TX2	1	2	19411		
P06727	24	28	302716		
P51452	6	7	31475		
P63000	1	1	54643		
P16452	5	5	71527		
O00410	6	6	17874		
Q9UPZ6	1	1	11412		
P62826	6	7	337395		
P20711	15	18	57740		
B7Z1M9	1	1	23067		
P18085	4	4	21808		
Q1EHB4	2	2	9233		
P53634	5	5	36863		
Q9BU61	2	2	19071		
Q8WZ55	3	3	38150		
Q13683	3	3	184312		
Q99541	16	21	55596		
Q86XE5	7	8	25710		
Q86WA6	8	10	54871		
P21796	18	24	104479		
Q15075	9	9	32116		
Q96I15	1	1	11741		
P50454	12	18	78823		
O14744	1	2	181438		
Q92599	3	3	15591		
Q2TB90	11	11	25292		
Q8N357	1	1	23433		
P32189	1	1	20301		
Q12765	5	6	22775		
Q9HBH1	2	2	24536		
Q8WWC4	3	3	38543		
Q13232	4	4	67740		
P43304	13	14	59948		
Q92544	1	1	9425		
P30740	15	19	48779		
Q9NWH7	1	1	39972		
P00326	1	3	4141		
P28161	2	2	17996		
P62633	3	3	17433		
P16284	4	4	29565		
O00584	4	4	45765		
Q9Y646	5	5	39052		
P13645	15	17	123739		
Q9H3R0	1	1	103992		
Q9BUF5	5	5	55451		
Q96HR9	2	2	7526		
Q9Y2H5	1	1	4432		
P62333	5	5	31239		
O95163	1	1	16243		
P26006	4	4	98191		
Q9NPE2	1	1	343547		
P23229	8	8	65018		
Q8WUW1	1	1	23617		
Q9H6R3	14	14	252866		
P30039	15	19	58910		
P53680	1	1	19389		
Q9BX97	2	2	17323		
O95340	1	1	6121		
Q15637	5	5	21727		
Q9NPL8	2	2	5138		
P49354	1	1	480		
P27216	1	1	15489		
P46459	11	11	46549		
P02794	11	16	83145		
O43464	6	6	53704		
P53367	5	5	26867		
Q5T4S7	3	3	57612		
P25786	10	10	68460		
O60936	6	7	14357		
Q96HE7	7	7	57694		
Q6NZI2	9	12	727557		
Q9NVD7	4	4	33268		
P13611	12	13	36182		
Q14697	33	42	118121		
P08294	6	7	81870		
P12111	104	131	428215		
P07437	5	8	193386		
Q6FI81	4	4	21539		
Q86UT6	1	1	7407		
O94760	9	11	141848		
P52735	1	1	6047		
Q9H299	3	3	38710		
O14617	6	6	28306		
P50552	5	5	23729		
Q14141	1	1	780		
P49589	1	1	16979		
O75368	6	7	106882		
Q8N3V7	3	3	6621		
P62330	2	3	29730		
P16444	7	8	95519		
Q7Z434	3	3	9761		
P30044	10	15	338165		
Q53GS9	1	1	480		
P01621	1	1	196734		
Q13621	6	6	32797		
P12081	4	4	40421		
P31277	1	1	6737		
P58107	13	16	50974		
Q7Z2W9	1	1	3675		
P04075	23	35	359991		
P02743	9	11	57706		
Q9NQG5	5	5	48711		
Q5VW32	2	2	21616		
P13807	6	6	41851		
Q16540	1	1	6071		
P15170	1	1	8224		
Q93062	2	2	8795		
Q9Y6W5	1	1	12211		
Q12849	3	4	7944		
Q9UMY4	1	1	4990		
Q13315	1	1	8498		
P61353	1	1	30250		
P62277	4	5	42947		
Q9NWV4	1	1	4542		
Q02252	28	37	294021		
Q96H20	1	1	12722		
P00568	4	4	135389		
Q13242	1	1	20448		
P62191	4	4	31244		
P45974	18	19	43077		
Q9BZK7	1	1	1470		
Q86Y39	2	3	60617		
P84098	4	5	43901		
Q9BYT8	4	4	17232		
P14317	2	2	20937		
O00476	1	1	11201		
O15067	6	6	398553		
